Year,Bahrain,Egypt,Iran,Iraq,Israel,Jordan,Kuwait,SaudiArabia,Oman,Yemen
1988,299,4700,5747,,14255,1124,3801,23343,2628,
1989,310,3789,4251,,11488,894,4719,22058,2638,
1990,337,3731,3774,,12306,749,18207,27720,2964,2404
1991,368,3755,3403,,16906,954,23728,26435,2456,2252
1992,391,3680,2953,,12774,777,12027,24846,2941,2212
1993,382,3572,3458,,14125,816,5819,26332,2760,1914
1994,386,3746,4268,,13272,829,6174,22728,2933,1964
1995,400,3687,4187,,12314,597,6771,20035,2954,1475
1996,427,3733,4617,,12612,790,5758,20002,2791,1342
1997,416,3821,5150,,12657,815,4387,27164,2888,1722
1998,428,3847,5154,,12490,884,4093,31375,2558,1654
1999,479,3860,5213,,12229,906,3977,27929,2588,1793
2000,476,4126,5739,,12962,931,4644,30782,3082,2133
2001,499,4980,6389,,13453,914,4564,32784,3585,2267
2002,599,5622,6877,,15045,885,4709,28781,3691,2871
